E:C,0,-19.3,-14.5,9.6
Vaktmästeri,0,-18.8,-14.5,13
Godmottagning,0,-18.8,-14.5,13
Tryckeri,0,-18.8,-14.5,13
E:elg,0,-18.2,-14.5,2.2
E:elgkalv,0,-20.9,-14.5,2.2
E:falk,0,-24.6,-14.5,7.3
E:hacke,0,-17.5,-14.5,4.2
E:jupiter,0,5.8,-14.5,-11.4
E:lo,0,-16,-14.5,6.8
E:mars,0,5.8,-14.5,-13.2
E:neptunus,0,5.8,-14.5,6.5
E:panter,0,-20,-14.5,4.2
E:pluto,0,5.8,-14.5,2.3
E:saturnus,0,5.8,-14.5,9.8
E:ravel,0,-22.5,-14.5,4.2
E:uranus,0,5.8,-14.5,8.1
E:val,0,24.6,-14.5,4.6
E:varg,0,-22.4,-14.5,9.5
E:venus,0,5,-14.5,14.7
E:B,1,-5.3,-13,-1.7
E:A,1,-15.4,-13,-1.5
E:Biblotek,1,4.2,-13,1.6
E:1123,1,-2.3,-13,4
E:1124,1,-2.1,-13,4
E:1144,1,-3.9,-13,4
E:1145,1,-1.7,-13,4
E:1147,10.5,-13,4
E:1149,2.4,-13,4
E:1406,1,6.4,-13,4.2
E:1407,1,5.6,-13,6.7
E:1408,1,5.8,-13,8.8
E:1409,1,5.8,-13,11.2
E:1426,1,2.3,-13,9.4
E:2116,2,-7,-11,4.3
E:2117,2,-9.3,-11,4.3
Alfa,2,-9.3,-11,4.3
E:2119,2,-11.5,-11,4.3
Beta,2,-11.5,-11,4.3
E:2121,2,-13.5,-11,4.3
Gamma,2,-13.5,-11,4.3
E:2405,2,3.8,-11,4.2
Orangeriet,2,-1.3,-11,9.5
E:2311,2,-1.3,-11,9.5
Köket,2,-14,-11,9.5
E:2311,2,-14,-11,9.5
Glasburen,3.9,-11,4.1
E:2405,3.9,-11,4.1
E:3308,3,-0.6,-9.5,9.5
E:3315,3,-6.6,-9.5,9.5
E:3316,3,-8.5,-9.5,9.5
E:3318,3,-11.7,-9.5,9.5
E:3319,3,-13.9,-9.5,9.5
E:3336,3,-18.3,-9.5,9.5
E:3114C,3,1.1,-9.5,4.5
E:3139,3,-22.7,-9.5,4.2
E:4130,4,-15.7,-7.5,4.2
E:LUCAS,4,-15.7,-7.5,4.2
K2,5,-9.1,-6,2.1
E:5169,5,-9.1,-6,2.1
Everest,5,-9.8,-6,4.2
E:5129,5,-9.8,-6,4.2

